"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"VISESHINFO","Visesh Infotecnics Limited","EQ","Face Value Split From Rs 10 To Re 1","1","03-Jan-2013","04-Jan-2013","-","-"
"SHARONBIO","Sharon Bio-Medicine Limited","EQ","Dividend Of Rs 1.80/- Per Share","2","03-Jan-2013","-","07-Jan-2013","08-Jan-2013"
"NELCO","NELCO Limited","EQ","Annual General Meeting/Dividend Re 0.50 Per Share","10","04-Jan-2013","-","08-Jan-2013","10-Jan-2013"
"CHESLINTEX","Cheslind Textiles Limited","EQ","Annual General Meeting","10","15-Jan-2013","-","17-Jan-2013","21-Jan-2013"
"SIEMENS","Siemens Limited","EQ","Annual General Meeting / Dividend Rs. 6/- Per Share","2","16-Jan-2013","-","18-Jan-2013","31-Jan-2013"
"MPHASIS","MphasiS Limited","EQ","Annual General Meeting/Dividend Rs.17 Per Share","10","17-Jan-2013","-","21-Jan-2013","01-Feb-2013"
"RSSOFTWARE","R. S. Software (India) Limited","EQ","Interim Dividend Rs.1.50 Per Share","5","17-Jan-2013","18-Jan-2013","-","-"
"CHEMFALKAL","Chemfab Alkalis Limited","EQ","Interim Dividend Rs.5.00 Per Share","5","17-Jan-2013","18-Jan-2013","-","-"
"HCLTECH","HCL Technologies Limited","EQ","Interim Dividend Of Rs 2/- Per Equity Share (Purpose Revised)","2","21-Jan-2013","22-Jan-2013","-","-"
"VARUNSHIP","Varun Shipping Company Limited","EQ","Annual General Meeting/Dividend Re 0.50 Per Share","10","22-Jan-2013","-","24-Jan-2013","04-Feb-2013"
"WALCHANNAG","Walchandnagar Industries Limited","EQ","Annual General Meeting / Dividend Re 1 Per Share","2","23-Jan-2013","-","25-Jan-2013","31-Jan-2013"
"AJRINFRA","AJR INFRA AND TOLLING LIMITED","EQ","Bonus 1:34","2","23-Jan-2013","24-Jan-2013","-","-"
"TCS","Tata Consultancy Services Limited","EQ","Interim Dividend 3 Per Share","1","23-Jan-2013","24-Jan-2013","-","-"
"XLENERGY","XL Energy Limited","EQ","Annual General Meeting","10","23-Jan-2013","-","27-Jan-2013","04-Feb-2013"
"BAJFINANCE","Bajaj Finance Limited","EQ","Rights 3:19 @ Premium Rs 1090 Per Share","2","23-Jan-2013","25-Jan-2013","-","-"
"BAJAJCON","Bajaj Consumer Care Limited","EQ","Interim Dividend Rs 6.50 Per Share","1","23-Jan-2013","25-Jan-2013","-","-"
"WIPRO","Wipro Limited","EQ","Interim Dividend Rs 2 Per Share (Purpose Revised)","2","23-Jan-2013","25-Jan-2013","-","-"
"OIL","Oil India Limited","EQ","Interim Dividend Rs 11 Per Share","10","23-Jan-2013","24-Jan-2013","-","-"
"20MICRONS","20 Microns Limited","EQ","Face Value Split Rs 10 To Rs 5","5","28-Jan-2013","29-Jan-2013","-","-"
"SUPREMEIND","Supreme Industries Limited","EQ","Interim Dividend Rs 2 Per Share (Purpose Revised)","2","28-Jan-2013","29-Jan-2013","-","-"
"SUNTV","Sun TV Network Limited","EQ","Interim Dividend Rs 2.50 Per Share (Purpose Revised)","5","28-Jan-2013","29-Jan-2013","-","-"
"MRF","MRF Limited","EQ","Annual General Meeting/Dividend Rs 19 Per Share","10","30-Jan-2013","-","01-Feb-2013","07-Feb-2013"
"CHOLAFIN","Cholamandalam Investment and Finance Company Limited","EQ","Interim Dividend Rs 2.50 Per Share","2","30-Jan-2013","31-Jan-2013","-","-"
"DBCORP","D.B.Corp Limited","EQ","Interim Dividend Rs 2 Per Share","10","30-Jan-2013","31-Jan-2013","-","-"
"BEL","Bharat Electronics Limited","EQ","Interim Dividend Rs 6 Per Share (Purpose Revised)","1","30-Jan-2013","31-Jan-2013","-","-"
"PERSISTENT","Persistent Systems Limited","EQ","Interim Dividend Rs 6 Per Share (Purpose Revised)","5","31-Jan-2013","-","02-Feb-2013","02-Feb-2013"
"ZENSARTECH","Zensar Technologies Limited","EQ","Interim Dividend Rs 3.50 Per Share","2","31-Jan-2013","01-Feb-2013","-","-"
"RBL","Rane Brake Lining Limited","EQ","Interim Dividend 2 Per Share","10","31-Jan-2013","01-Feb-2013","-","-"
"DHANI","Dhani Services Limited","EQ","2nd Interim Dividend Re 1 Per Share","2","31-Jan-2013","01-Feb-2013","-","-"
"BAJAJHIND","Bajaj Hindusthan Sugar Limited","EQ","Annual General Meeting/Dividend Re 0.10 Per Share","1","31-Jan-2013","-","02-Feb-2013","14-Feb-2013"
"AUTOAXLES","Automotive Axles Limited","EQ","Annual General Meeting/Dividend Rs 10 Per Share","10","31-Jan-2013","-","04-Feb-2013","06-Feb-2013"
"RML","Rane (Madras) Limited","EQ","Interim Dividend Rs 2 Per Share","10","31-Jan-2013","02-Feb-2013","-","-"
"SANDESH","The Sandesh Limited","EQ","Buyback- Tender Offer","10","31-Jan-2013","01-Feb-2013","-","-"
"APTECHT","Aptech Limited","EQ","Interim Dividend Rs 1.50 Per Share","10","31-Jan-2013","01-Feb-2013","-","-"
"TCI","Transport Corporation of India Limited","EQ","Interim Dividend Re 0.40 Per Share (Purpose Revised)","2","01-Feb-2013","04-Feb-2013","-","-"
"TORNTPHARM","Torrent Pharmaceuticals Limited","EQ","Interim Dividend Rs 6 Per Share (Purpose Revised)","5","01-Feb-2013","04-Feb-2013","-","-"
"GANDHITUBE","Gandhi Special Tubes Limited","EQ","Interim Dividend Rs 6 Per Share (Purpose Revised)","5","01-Feb-2013","04-Feb-2013","-","-"
"KANANIIND","Kanani Industries Limited","EQ","Bonus 1:10","1","01-Feb-2013","-","05-Feb-2013","05-Feb-2013"
"INDIABULLS","Indiabulls Financial Services Limited","EQ","Interim Dividend Rs 5.50 Per Share","2","01-Feb-2013","04-Feb-2013","-","-"
"PFC","Power Finance Corporation Limited","EQ","Interim Dividend Rs 6 Per Share  (Purpose Revised)","10","04-Feb-2013","05-Feb-2013","-","-"
"BANARBEADS","Banaras Beads Limited","EQ","Interim Dividend  Rs 2.50 Per Share (Purpose Revised)","10","04-Feb-2013","05-Feb-2013","-","-"
"IIFL","IIFL Finance Limited","EQ","Interim Dividend Rs 3 Per Share (Purpose Revised)","2","04-Feb-2013","05-Feb-2013","-","-"
"EIDPARRY","EID Parry India Limited","EQ","Interim Dividend Rs 6 Per Share (Purpose Revised)","1","05-Feb-2013","06-Feb-2013","-","-"
"IDFC","IDFC Limited","H5","Interest Payment","5000","05-Feb-2013","06-Feb-2013","-","-"
"HIL","HIL Limited","EQ","Interim Dividend Rs 7.50 Per Share","10","05-Feb-2013","06-Feb-2013","-","-"
"BHEL","Bharat Heavy Electricals Limited","EQ","Interim Dividend Rs 2.12 Per Share (Purpose Revised)","2","05-Feb-2013","06-Feb-2013","-","-"
"TVSMOTOR","TVS Motor Company Limited","EQ","Interim Dividend Re 0.60 Per Share (Purpose Revised)","1","06-Feb-2013","07-Feb-2013","-","-"
